product_id,product_name,category_path
1001,Telefon Siemens Gigaset DA310,Telefony i akcesoria;Telefony stacjonarne
1002,Kyocera FS-1135MFP,Komputery;Drukarki i skanery;Biurowe urządzenia wielofunkcyjne
1003,Kyocera FS-3640MFP,Komputery;Drukarki i skanery;Biurowe urządzenia wielofunkcyjne
1004,Fallout 3 (Xbox 360),Gry i konsole;Gry na konsole;Gry Xbox 360
1005,Szalone Króliki Na żywo i w kolorze (Xbox 360),Gry i konsole;Gry na konsole;Gry Xbox 360
1006,Call of Duty 4 Modern Warfare (Xbox 360),Gry i konsole;Gry na konsole;Gry Xbox 360
1007,Dead Space 3 (Xbox 360),Gry i konsole;Gry na konsole;Gry Xbox 360
1008,Tom Clancy&#39;s Rainbow Six Vegas (Xbox 360),Gry i konsole;Gry na konsole;Gry Xbox 360
1009,Kinect Joy Ride (Xbox 360),Gry i konsole;Gry na konsole;Gry Xbox 360
1010,BioShock 2 (Xbox 360),Gry i konsole;Gry na konsole;Gry Xbox 360
1011,BioShock Infinite (Xbox 360),Gry i konsole;Gry na konsole;Gry Xbox 360
1012,Fallout New Vegas (Xbox 360),Gry i konsole;Gry na konsole;Gry Xbox 360
1013,LA Noire (Xbox 360),Gry i konsole;Gry na konsole;Gry Xbox 360
1014,Lego Batman 2 DC Super Heroes (Xbox 360),Gry i konsole;Gry na konsole;Gry Xbox 360
1015,Max Payne 3 (Xbox 360),Gry i konsole;Gry na konsole;Gry Xbox 360
1016,Rayman Origins (Xbox 360),Gry i konsole;Gry na konsole;Gry Xbox 360
1017,LCD Dell U2412M,Komputery;Monitory;Monitory LCD
1018,Gears of War 3 (Xbox 360),Gry i konsole;Gry na konsole;Gry Xbox 360
1019,GTA 4 (Xbox 360),Gry i konsole;Gry na konsole;Gry Xbox 360
1020,Dead Space 2 (Xbox 360),Gry i konsole;Gry na konsole;Gry Xbox 360
1021,Gears of War (Xbox 360),Gry i konsole;Gry na konsole;Gry Xbox 360
1022,Mass Effect 2 (Xbox 360),Gry i konsole;Gry na konsole;Gry Xbox 360
1023,Mass Effect 3 (Xbox 360),Gry i konsole;Gry na konsole;Gry Xbox 360
1024,Mortal Kombat (Xbox 360),Gry i konsole;Gry na konsole;Gry Xbox 360
1025,LCD BenQ GL2250,Komputery;Monitory;Monitory LCD
1026,Red Dead Redemption (Xbox 360),Gry i konsole;Gry na konsole;Gry Xbox 360
1027,Skate 3 (Xbox 360),Gry i konsole;Gry na konsole;Gry Xbox 360
1028,Sniper Ghost Warrior 2 (Xbox 360),Gry i konsole;Gry na konsole;Gry Xbox 360
1029,Tom Clancy&#39;s Rainbow Six Vegas 2 (Xbox 360),Gry i konsole;Gry na konsole;Gry Xbox 360
1030,LCD Iiyama B2280WSD,Komputery;Monitory;Monitory LCD
1031,Need for Speed Most Wanted (Xbox 360),Gry i konsole;Gry na konsole;Gry Xbox 360
1032,LCD Iiyama E2280WSD,Komputery;Monitory;Monitory LCD
1033,LCD Iiyama T1932MSC,Komputery;Monitory;Monitory LCD
1034,LCD NEC EA223WM,Komputery;Monitory;Monitory LCD
1035,Samsung Galaxy S III GT-i9300,Telefony i akcesoria;Telefony komórkowe
1036,LCD Asus VK228H,Komputery;Monitory;Monitory LCD
1037,LCD Asus VK248H,Komputery;Monitory;Monitory LCD
1038,LCD Asus VK278Q,Komputery;Monitory;Monitory LCD
1039,LCD Asus VS197D,Komputery;Monitory;Monitory LCD
1040,Crysis 2 (PS3),Gry i konsole;Gry na konsole;Gry PlayStation3
1041,Crysis 3 (PS3),Gry i konsole;Gry na konsole;Gry PlayStation3
1042,GTA 5 (PS3),Gry i konsole;Gry na konsole;Gry PlayStation3
1043,Fight Night Champion (PS3),Gry i konsole;Gry na konsole;Gry PlayStation3
1044,Assassin&#39;s Creed 3 (PS3),Gry i konsole;Gry na konsole;Gry PlayStation3
1045,Call of Duty Modern Warfare 2 (PS3),Gry i konsole;Gry na konsole;Gry PlayStation3
1046,LEGO Batman 2 DC Super Heroes (PS3),Gry i konsole;Gry na konsole;Gry PlayStation3
1047,Pirates of the Caribbean At World&#39;s End (PS3),Gry i konsole;Gry na konsole;Gry PlayStation3
1048,Gra o tron (PC),Gry i konsole;Gry komputerowe
1049,Max Payne 3 (PC),Gry i konsole;Gry komputerowe
1050,Bioshock 2 (PC),Gry i konsole;Gry komputerowe
1051,Spec Ops The Line (PC),Gry i konsole;Gry komputerowe
1052,Duke Nukem Forever (PC),Gry i konsole;Gry komputerowe
1053,Anno 2070 (PC),Gry i konsole;Gry komputerowe
1054,Call of Duty 2 (PC),Gry i konsole;Gry komputerowe
1055,Call of Duty Modern Warfare 3 (PC),Gry i konsole;Gry komputerowe
1056,Call of Duty Black Ops (PC),Gry i konsole;Gry komputerowe
1057,Doom 3 (PC),Gry i konsole;Gry komputerowe
1058,Angry Birds Classic (PC),Gry i konsole;Gry komputerowe
1059,Auta 2 (PC),Gry i konsole;Gry komputerowe
1060,Wiedźmin 2 Zabójcy królów (PC),Gry i konsole;Gry komputerowe
1061,Warhammer 40.000 Dawn of War (PC),Gry i konsole;Gry komputerowe
1062,Ridge Racer Unbounded (PC),Gry i konsole;Gry komputerowe
1063,Air Conflicts (PC),Gry i konsole;Gry komputerowe
1064,LCD BenQ GL2250HM,Komputery;Monitory;Monitory LCD
1065,LCD Asus PA248Q,Komputery;Monitory;Monitory LCD
1066,LCD Iiyama T1931SR,Komputery;Monitory;Monitory LCD
1067,Nokia 3310,Telefony i akcesoria;Telefony komórkowe
1068,LCD NEC EA223WMe,Komputery;Monitory;Monitory LCD
1069,LCD NEC EA224WMi,Komputery;Monitory;Monitory LCD
1070,LCD Philips 241S4LCB,Komputery;Monitory;Monitory LCD
1071,LCD Philips 241B4LPYCB,Komputery;Monitory;Monitory LCD
1072,Jabra Freeway,Telefony i akcesoria;Akcesoria telefoniczne;Zestawy głośnomówiące
1073,Jabra Drive,Telefony i akcesoria;Akcesoria telefoniczne;Zestawy głośnomówiące
1074,Gembird BTCC-002,Telefony i akcesoria;Akcesoria telefoniczne;Zestawy głośnomówiące
1075,Ricoh SG3110DN,Komputery;Drukarki i skanery;Biurowe urządzenia wielofunkcyjne
1076,Samsung CLX-6260FR ### Gadżety Samsung ### Eksploatacja -10% ### Negocjuj Cenę ### Raty ### Szybkie Płatności ### Szybka Wysyłka,Komputery;Drukarki i skanery;Biurowe urządzenia wielofunkcyjne
1077,Kyocera FS-C2026MFP,Komputery;Drukarki i skanery;Biurowe urządzenia wielofunkcyjne
1078,Kyocera FS-3540MFP,Komputery;Drukarki i skanery;Biurowe urządzenia wielofunkcyjne
1079,Kyocera FS-3040MFP,Komputery;Drukarki i skanery;Biurowe urządzenia wielofunkcyjne
1080,Kyocera FS-3140MFP,Komputery;Drukarki i skanery;Biurowe urządzenia wielofunkcyjne
1081,OKI B840dn,Komputery;Drukarki i skanery;Biurowe urządzenia wielofunkcyjne
1082,Total War Shogun 2 (PC),Gry i konsole;Gry komputerowe
1083,MAJESTY ANTOLOGIA (PC),Gry i konsole;Gry komputerowe
1084,Sing It High School Musical 3 (PS3),Gry i konsole;Gry na konsole;Gry PlayStation3
1085,Dishonored (PC),Gry i konsole;Gry komputerowe
1086,Disney Universe (PC),Gry i konsole;Gry komputerowe
1087,Fallout 3 (PC),Gry i konsole;Gry komputerowe
1088,Fallout New Vegas (PC),Gry i konsole;Gry komputerowe
1089,Rayman Origins (PC),Gry i konsole;Gry komputerowe
1090,Władca Pierścieni Wojna Na Północy (PC),Gry i konsole;Gry komputerowe
1091,Borderlands (PC),Gry i konsole;Gry komputerowe
1092,Company of Heroes (PC),Gry i konsole;Gry komputerowe
1093,Company of Heroes 2 (PC),Gry i konsole;Gry komputerowe
1094,Hospital Tycoon (PC),Gry i konsole;Gry komputerowe
1095,Twierdza 2 (PC),Gry i konsole;Gry komputerowe
1096,Bionic Commando (PC),Gry i konsole;Gry komputerowe
1097,Company of Heroes Tales of Valor (PC),Gry i konsole;Gry komputerowe
1098,DIRT 3 (PC),Gry i konsole;Gry komputerowe
1099,Resident Evil 5 (PC),Gry i konsole;Gry komputerowe
1100,Cities in Motion (PC),Gry i konsole;Gry komputerowe
1101,Dragonshard (PC),Gry i konsole;Gry komputerowe
1102,Dream Pinball 3D (PC),Gry i konsole;Gry komputerowe
1103,Symulator Śmieciarki (PC),Gry i konsole;Gry komputerowe
1104,Anomaly Warzone Earth (PC),Gry i konsole;Gry komputerowe
1105,Battlefield 3 Close Quarters (PC),Gry i konsole;Gry komputerowe
1106,Overlord (PC),Gry i konsole;Gry komputerowe
1107,Rise of the Argonauts (PC),Gry i konsole;Gry komputerowe
1108,Dead Space 2 (PC),Gry i konsole;Gry komputerowe
1109,Batman Arkham Asylum (PC),Gry i konsole;Gry komputerowe
1110,Bioshock (PC),Gry i konsole;Gry komputerowe
1111,Battlefield Bad Company 2 (PC),Gry i konsole;Gry komputerowe
1112,Singularity (PC),Gry i konsole;Gry komputerowe
1113,Borderlands 2 (PC),Gry i konsole;Gry komputerowe
1114,Brink (PC),Gry i konsole;Gry komputerowe
1115,Napoleon Total War (PC),Gry i konsole;Gry komputerowe
1116,Call of Duty 4 Modern Warfare (PC),Gry i konsole;Gry komputerowe
1117,Sonic Generations (PC),Gry i konsole;Gry komputerowe
1118,Sniper Ghost Warrior (PC),Gry i konsole;Gry komputerowe
1119,Civilization 5 Bogowie i Królowie (PC),Gry i konsole;Gry komputerowe
1120,Civilization 4 Warlords (PC),Gry i konsole;Gry komputerowe
1121,Battlefield 3 Powrót do Karkand (PC),Gry i konsole;Gry komputerowe
1122,Dead Rising 2 (PC),Gry i konsole;Gry komputerowe
1123,Deep Black Reloaded (PC),Gry i konsole;Gry komputerowe
1124,Devil May Cry 4 (PC),Gry i konsole;Gry komputerowe
1125,Diablo 3 (PC),Gry i konsole;Gry komputerowe
1126,The Sims 3 Pokolenia (PC),Gry i konsole;Gry komputerowe
1127,Dark Void (PC),Gry i konsole;Gry komputerowe
1128,Anarchy Reigns (Xbox 360),Gry i konsole;Gry na konsole;Gry Xbox 360
1129,Battlefield Bad Company 2 (Xbox 360),Gry i konsole;Gry na konsole;Gry Xbox 360
1130,Tom Clancy&#39;s Ghost Recon 4 Future Soldier (Xbox 360),Gry i konsole;Gry na konsole;Gry Xbox 360
1131,The Elder Scrolls 5 Skyrim (PC),Gry i konsole;Gry komputerowe
1132,A New Beginning (PC),Gry i konsole;Gry komputerowe
1133,Symulator Agrar 2012 (PC),Gry i konsole;Gry komputerowe
1134,Air Conflicts Secret Wars (PC),Gry i konsole;Gry komputerowe
1135,Bioshock Infinite (PC),Gry i konsole;Gry komputerowe
1136,Just Cause (PC),Gry i konsole;Gry komputerowe
1137,Death Track Resurrection (PC),Gry i konsole;Gry komputerowe
1138,Dead Rising 2 Off the Record (PC),Gry i konsole;Gry komputerowe
1139,F1 2012 (PC),Gry i konsole;Gry komputerowe
1140,Euro Truck Simulator 2 (PC),Gry i konsole;Gry komputerowe
1141,Król Futbolu Piłkarski Quiz (PC),Gry i konsole;Gry komputerowe
1142,Toy Story Mania (PC),Gry i konsole;Gry komputerowe
1143,GTR Evolution (PC),Gry i konsole;Gry komputerowe
1144,Street Fighter 4 (PC),Gry i konsole;Gry komputerowe
1145,Sniper Elite V2 (PC),Gry i konsole;Gry komputerowe
1146,Tropico 3 (PC),Gry i konsole;Gry komputerowe
1147,Kurczak Mały (PC),Gry i konsole;Gry komputerowe
1148,Iniemamocni (PC),Gry i konsole;Gry komputerowe
1149,Medal of Honor Warfighter (PC),Gry i konsole;Gry komputerowe
1150,LEGO Piraci z Karaibów (PC),Gry i konsole;Gry komputerowe
1151,Mafia 2 (PC),Gry i konsole;Gry komputerowe
1152,Mortal Kombat Komplete (PC),Gry i konsole;Gry komputerowe
1153,Symulator Policji (PC),Gry i konsole;Gry komputerowe
1154,Civilization 4 (PC),Gry i konsole;Gry komputerowe
1155,The Sims 3 Kariera (PC),Gry i konsole;Gry komputerowe
1156,Rig&#39;n&#39;Roll Tirowiec (PC),Gry i konsole;Gry komputerowe
1157,The Elder Scrolls 4 Oblivion (PC),Gry i konsole;Gry komputerowe
1158,Lego Star Wars The Complete Saga (PC),Gry i konsole;Gry komputerowe
1159,The Darkness 2 (PC),Gry i konsole;Gry komputerowe
1160,Street Racing Syndicate (PC),Gry i konsole;Gry komputerowe
1161,XCOM Enemy Unknown (PC),Gry i konsole;Gry komputerowe
1162,Total War Shogun (PC),Gry i konsole;Gry komputerowe
1163,Trucks &amp; Trailers (PC),Gry i konsole;Gry komputerowe
1164,Aliens Colonial Marines (PC),Gry i konsole;Gry komputerowe
1165,Gdzie jest Nemo (PC),Gry i konsole;Gry komputerowe
1166,Empire Total War (PC),Gry i konsole;Gry komputerowe
1167,Aliens vs Predator (PC),Gry i konsole;Gry komputerowe
1168,Angry Birds Space (PC),Gry i konsole;Gry komputerowe
1169,Bus Driver (PC),Gry i konsole;Gry komputerowe
1170,Symulator Kamieniołomu (PC),Gry i konsole;Gry komputerowe
1171,Race Driver Grid (PC),Gry i konsole;Gry komputerowe
1172,Silent Hunter 5 Bitwa o Atlantyk (PC),Gry i konsole;Gry komputerowe
1173,The Sims 3 Wymarzone Podróże (PC),Gry i konsole;Gry komputerowe
1174,Euro Truck Simulator (PC),Gry i konsole;Gry komputerowe
1175,Europa Universalis 3 (PC),Gry i konsole;Gry komputerowe
1176,The Sims 3 Nowoczesny Apartament (PC),Gry i konsole;Gry komputerowe
1177,Twierdza 3 (PC),Gry i konsole;Gry komputerowe
1178,King&#39;s Bounty Nowe Światy (PC),Gry i konsole;Gry komputerowe
1179,Symulator Kopalni (PC),Gry i konsole;Gry komputerowe
1180,Split/Second (PC),Gry i konsole;Gry komputerowe
1181,Still Life (PC),Gry i konsole;Gry komputerowe
1182,Battlefield 3 (PC),Gry i konsole;Gry komputerowe
1183,GTA San Andreas (PC),Gry i konsole;Gry komputerowe
1184,Men of War Oddział Szturmowy (PC),Gry i konsole;Gry komputerowe
1185,Homefront (PC),Gry i konsole;Gry komputerowe
1186,Symulator Budowy Mostów (PC),Gry i konsole;Gry komputerowe
